"","iso","cdd"
"1","AFG",768.957182173296
"2","AGO",1386.29467773438
"3","ALB",488.060913085938
"4","ARE",2714.10229492188
"5","ARG",692.788859049479
"6","ARM",253.947021484375
"7","AUS",599.09189453125
"8","AUT",158.539376395089
"9","AZE",540.637005974265
"10","BDI",783.470284598214
"11","BEL",112.762019230769
"12","BEN",2431.65409342448
"13","BFA",3137.7271082261
"14","BGD",2030.93337264151
"15","BGR",502.066492417279
"16","BHR",2329.31982421875
"17","BHS",1687.5478515625
"18","BIH",382.75048828125
"19","BLR",178.914602179276
"20","BLZ",2180.01871744792
"21","BOL",998.973761307566
"22","BRA",1442.04899447949
"23","BRB",1952.05615234375
"24","BRN",1832.43896484375
"25","BTN",392.539899553571
"26","BWA",1153.98451450893
"27","CAF",1821.24169921875
"28","CAN",228.889699835526
"29","CHE",105.445095486111
"30","CHL",211.786056518555
"31","CHN",641.898014927127
"32","CIV",2094.47183122306
"33","CMR",1837.1178135016
"34","COD",1491.74702671596
"35","COG",1881.96658761161
"36","COL",1394.42368164062
"37","COM",2094.21997070312
"38","CPV",972.882649739583
"39","CRI",2084.86246744792
"40","CUB",2074.65461678341
"41","CYP",741.505859375
"42","CZE",153.274088541667
"43","DEU",121.970182649382
"44","DJI",2667.22314453125
"45","DNK",25.43359375
"46","DOM",2008.47784423828
"47","DZA",1049.5431810462
"48","ECU",942.402005709135
"49","EGY",1571.28205672554
"50","ERI",2647.80745442708
"51","ESP",422.893676757812
"52","EST",54.545166015625
"53","ETH",1141.08620117188
"54","FIN",21.2130681818182
"55","FJI",1616.66389973958
"56","FRA",190.144777960526
"57","GAB",1809.03971354167
"58","GBR",40.6626487554506
"59","GEO",255.93037109375
"60","GHA",2432.93369140625
"61","GIN",2251.81842041016
"62","GMB",2720.353515625
"63","GNB",2987.27819824219
"64","GNQ",1894.23209635417
"65","GRC",615.743582589286
"66","GTM",1845.66468098958
"67","GUY",2119.5556640625
"68","HKG",1368.02880859375
"69","HND",1779.87051669034
"70","HRV",405.175362723214
"71","HTI",2129.67724609375
"72","HUN",391.222005208333
"73","IDN",2202.45428125
"74","IND",2383.8301768389
"75","IRL",4.3955078125
"76","IRN",1251.95571959253
"77","IRQ",2043.01947021484
"78","ISL",0
"79","ISR",1033.2109375
"80","ITA",406.422404963796
"81","JAM",2210.47623697917
"82","JOR",1309.8779296875
"83","JPN",409.946758120079
"84","KAZ",531.693616365132
"85","KEN",1533.6874593099
"86","KGZ",244.091727120536
"87","KHM",2367.7480024858
"88","KOR",373.416719324449
"89","KWT",2744.09749348958
"90","LAO",1562.7037109375
"91","LBN",912.495186941964
"92","LBR",1898.04680524554
"93","LBY",886.329427083333
"94","LKA",2437.99462890625
"95","LSO",308.887532552083
"96","LTU",128.152180989583
"97","LUX",157.54541015625
"98","LVA",54.7301635742188
"99","MAR",940.981608072917
"100","MDA",478.996398925781
"101","MDG",1063.22998046875
"102","MDV",2574.99853515625
"103","MEX",1113.19266915027
"104","MKD",483.525987413194
"105","MLI",3194.4216796875
"106","MLT",563.267578125
"107","MMR",1755.69349307106
"108","MNE",374.459228515625
"109","MNG",103.359375
"110","MOZ",1723.8761693051
"111","MRT",2248.00024414062
"112","MUS",1308.96923828125
"113","MWI",1232.33532714844
"114","MYS",2126.33947456174
"115","NAM",1279.75821940104
"116","NCL",879.97509765625
"117","NER",2971.37503487723
"118","NGA",2299.46042480469
"119","NIC",2195.3163618608
"120","NLD",70.482275390625
"121","NOR",5.27408854166667
"122","NPL",987.371044921875
"123","NZL",31.5847833806818
"124","OMN",2303.11416015625
"125","PAK",2269.36371159958
"126","PAN",2157.7603515625
"127","PER",680.800170898438
"128","PHL",2207.96350446429
"129","PNG",1455.86865234375
"130","POL",159.220428466797
"131","PRI",1886.6103515625
"132","PRK",219.125348772321
"133","PRT",313.652783203125
"134","PRY",1690.22216796875
"135","PYF",1933.16259765625
"136","QAT",2938.7265625
"137","ROU",404.417624080882
"138","RUS",242.61300981415
"139","RWA",707.948181152344
"140","SAU",2368.1021484375
"141","SDN",2823.94121334876
"142","SEN",2476.41532175164
"143","SGP",2250.466796875
"144","SLB",2601.77221679688
"145","SLE",2120.25874023438
"146","SLV",2396.25244140625
"147","SOM",2364.55288628472
"148","SRB",400.652523643092
"149","SSD",2404.77811104911
"150","STP",2367.98779296875
"151","SUR",2322.1865234375
"152","SVK",265.9640625
"153","SVN",286.793701171875
"154","SWE",23.1493013822115
"155","SWZ",559.3037109375
"156","SYR",1214.53001767113
"157","TCD",2793.0375
"158","TGO",2468.39768629808
"159","THA",2160.3294574285
"160","TJK",483.779724121094
"161","TKM",1342.12288411458
"162","TLS",2429.81103515625
"163","TTO",2010.52490234375
"164","TUN",913.481732536765
"165","TUR",583.75422014509
"166","TWN",1329.72641888787
"167","TZA",1091.90409581801
"168","UGA",1281.65444946289
"169","UKR",430.023208007812
"170","URY",544.232299804688
"171","USA",743.218657198009
"172","UZB",940.297192382812
"173","VEN",2159.41000677615
"174","VNM",1796.5951944987
"175","YEM",2425.8017578125
"176","ZAF",487.999441964286
"177","ZMB",1130.76008406929
"178","ZWE",1187.80249023438
